act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,quantile_95_act_travelling_time,quantile_90_act_travelling_time,quantile_95_act_occupied_time,quantile_90_act_occupied_time,quantile_85_act_travelling_time
2019-12-26 11:04:05.747,LOF,04,RC04,2019-12-26 11:04:30.052,24.305,8.0,False,False,False,False,False,False
2019-12-26 11:04:06.345,SKM,12,RC02,2019-12-26 11:05:16.669,70.324,54.0,True,False,False,False,False,False
2019-12-26 11:04:07.540,WTS,07,GC19,2019-12-26 11:04:30.664,23.124,13.0,False,False,False,False,False,False
2019-12-26 11:04:08.080,WTS,06,QC05,2019-12-26 11:04:38.618,30.538,9.0,False,False,False,False,False,False
2019-12-26 11:04:08.080,NTK,04,RC08,2019-12-26 11:04:35.585,27.505,9.0,False,False,False,False,False,False
2019-12-26 11:04:08.536,YAT,7004,RC10,2019-12-26 11:04:27.263,18.727,6.0,False,False,False,False,False,False
2019-12-26 11:04:09.731,YMT,33,GC24,2019-12-26 11:04:32.663,22.932,4.0,False,False,False,False,False,False
2019-12-26 11:04:09.931,SKM,13,GC22,2019-12-26 11:05:20.654,70.723,54.0,True,False,False,False,False,False
2019-12-26 11:04:10.727,HOM,08,QC27,2019-12-26 11:04:59.321,48.594,26.0,False,False,False,False,False,False
2019-12-26 11:04:10.832,HOM,18,GC25,2019-12-26 11:04:33.410,22.578,4.0,False,False,False,False,False,False
2019-12-26 11:04:11.126,KOT,06,QC03,2019-12-26 11:04:35.231,24.105,6.0,False,False,False,False,False,False
2019-12-26 11:04:12.919,TIK,7101,GC13,2019-12-26 11:04:53.134,40.215,29.0,False,False,False,False,False,False
2019-12-26 11:04:13.317,YMT,34,RC28,2019-12-26 11:04:31.048,17.731,2.0,False,False,False,False,False,False
2019-12-26 11:04:13.915,LOF,06,RC04,2019-12-26 11:04:48.181,34.266,11.0,False,False,False,False,False,False
2019-12-26 11:04:14.513,YMT,35,GC24,2019-12-26 11:05:20.853,66.34,49.0,True,False,False,False,False,False
2019-12-26 11:04:15.509,YAT,7002,RC10,2019-12-26 11:04:35.032,19.523,9.0,False,False,False,False,False,False
2019-12-26 11:04:15.709,HOM,22,GC25,2019-12-26 11:04:38.419,22.71,5.0,False,False,False,False,False,False
2019-12-26 11:04:16.106,YMT,36,RC28,2019-12-26 11:04:39.217,23.111,5.0,False,False,False,False,False,False
2019-12-26 11:04:16.704,LAT,6102,QC09,2019-12-26 11:04:37.225,20.521,7.0,False,False,False,False,False,False
2019-12-26 11:04:17.102,MOK,32B,QC01,2019-12-26 11:04:39.217,22.115,6.0,False,False,False,False,False,False
2019-12-26 11:04:17.302,KOT,08,QC03,2019-12-26 11:05:41.173,83.871,10.0,False,False,False,False,False,False
2019-12-26 11:04:17.303,WTS,08,QC05,2019-12-26 11:05:30.615,73.312,14.0,False,False,False,False,False,False
2019-12-26 11:04:17.700,NTK,06,RC08,2019-12-26 11:05:33.205,75.505,59.0,True,False,False,False,False,False
2019-12-26 11:04:18.099,KWT,6009,GC15,2019-12-26 11:04:41.209,23.11,8.0,False,False,False,False,False,False
2019-12-26 11:04:18.697,CHH,13A,GC18,2019-12-26 11:04:42.538,23.841,12.0,False,False,False,False,False,False
2019-12-26 11:04:18.895,CHH,12,RC06,2019-12-26 11:04:42.005,23.11,10.0,False,False,False,False,False,False
2019-12-26 11:04:20.291,NTK,13,GC16,2019-12-26 11:04:44.196,23.905,11.0,False,False,False,False,False,False
2019-12-26 11:04:20.888,TIK,7110,QC11,2019-12-26 11:04:43.081,22.193,9.0,False,False,False,False,False,False
2019-12-26 11:04:21.058,HOM,07,GC25,2019-12-26 11:04:47.384,26.326,5.0,False,False,False,False,False,False
2019-12-26 11:04:21.286,YMT,38,RC28,2019-12-26 11:04:46.587,25.301,4.0,False,False,False,False,False,False
2019-12-26 11:04:21.405,WTS,09,GC19,2019-12-26 11:04:39.217,17.812,9.0,False,False,False,False,False,False
